"offer","brand","description","activated_date","expiration_date","url"
"SAVE $0.50","HORMEL® NATURAL CHOICE® Deli Meat","on the purchase of any one (1) HORMEL® NATURAL CHOICE® deli meat","2018-03-01T00:01:00-0800","2018-05-31T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $1.50","Caress","on ONE (1) Caress Botanicals Shower Foam","2018-02-22T00:01:00-0800","2018-04-23T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$1.50 OFF","PAMPERS®","ONE Pampers® Splashers Swim Diapers (excludes trial/travel size)","2018-03-07T00:01:00-0800","2018-07-31T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $1.50","VISINE®","on any ONE (1) VISINE® product 0.5 oz or larger","2018-03-04T00:01:00-0800","2018-04-15T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $2.00","Cat Chow®","on one (1) 13lb or larger bag of Purina® Cat Chow® brand dry cat food, any variety","2018-03-04T00:01:00-0800","2018-05-18T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$2.00 OFF","L'Oreal Paris","on ANY ONE (1) 11 oz. standard size L’Oréal Paris Elnett Hairspray (excludes 2.2 oz. trial size)","2018-03-04T00:01:00-0800","2018-05-04T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"25¢ OFF","BOUNTY®","ONE Bounty® Basic Paper Towels (excludes trial/travel size)","2018-03-04T00:01:00-0800","2018-04-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$3.00 Off","Carol's Daughter","on any ONE (1) Carol's Daughter Hair Care or Body Care Product (excludes all 2.0 oz trial sizes)","2018-01-12T00:01:00-0800","2018-04-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $2.00","Alcon® Eye Care","On Any ONE (1) OPTI-FREE® or CLEAR CARE® Solution 10oz or Larger","2018-03-04T00:01:00-0800","2018-03-31T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"25¢ OFF","CHARMIN®","ONE Charmin® Essentials Soft or Essentials Strong 4 ct or larger (excludes trial/travel size)","2018-03-04T00:01:00-0800","2018-04-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
